gvkey,fyear,Hole_opening,Hole_closing,Non_hole
1246,1996,-0.1133769,-0.4012668,-0.406008
1246,1997,-0.5384985,-0.6405486,-0.5221773
1246,1999,-0.4376542,-0.6698567,-0.4547909
1246,2000,-0.4436299,-0.6044347,-0.4415655
1246,2001,-0.5582278,-0.7251847,-0.5021631
1246,2002,-0.4812387,-0.6607715,-0.5012925
1246,2003,-0.5368857,-0.7926559,-0.5067623
1246,2004,-0.440528,-0.6516826,-0.4744443
1246,2005,-0.5126419,-0.7393374,-0.5115608
1246,2006,-0.4059522,-0.7228903,-0.5015873
1246,2007,-0.4076565,-0.679827,-0.4887034
1257,2002,0.9806171,0.883777,-0.2093091
1257,2003,2.092336,1.602346,-0.1889324
1257,2004,2.213959,1.224565,-0.2958295
1257,2005,0.4907669,-0.4120832,-0.4812644
1258,1997,2.183527,0.1773436,-0.393292
1259,1997,-0.0458024,-0.5796081,-0.4390039
1259,1998,0.1026358,-0.49078,0.4784371
1259,1999,0.1561412,-0.170012,0.5378436
1259,2000,-0.6067827,-0.5197077,0.1522033
1259,2001,-0.6060764,-0.426917,0.5669186
1259,2002,-0.5924126,-0.6355351,0.6013157
1259,2003,-0.5852649,-0.675567,0.7702973
1259,2004,-0.5652413,-0.6283976,0.8962982
1259,2005,-0.5598815,-0.6193027,1.081396
1259,2006,-0.5239719,-0.5240993,1.10673
1259,2007,-0.5538852,-0.5539756,1.114987
1259,2008,-0.5542125,-0.5917391,1.213456
1259,2009,-0.5800666,-0.4233016,1.170719
1259,2010,-0.5680174,0.0041221,1.307047
1259,2011,-0.5407934,-0.5476543,1.081421
1259,2012,-0.5829671,-0.601788,1.081084
1266,1996,-0.5167235,-0.0673896,-0.4033648
1266,1997,-0.356599,-0.6163304,-0.5239611
1266,1998,-0.1178608,-0.5001835,-0.493716
1266,1999,-0.6102845,-0.6019165,-0.4530025
1266,2000,-0.4487504,-0.7478746,-0.4579955
1266,2001,-0.6136622,-0.7647287,-0.5060263
1266,2002,-0.3331293,-0.6927462,-0.5026132
1266,2003,-0.2990713,-0.7436676,-0.5099329
1266,2004,-0.3396916,-0.6811942,-0.4877144
1266,2005,-0.4209291,-0.7824007,-0.5166391
1266,2007,-0.362313,-0.7855223,-0.4954507
1266,2008,-0.3564687,-0.763427,-0.4877191
1266,2009,-0.3749532,-0.7966877,-0.5022582
1266,2010,-0.4631588,-0.8030106,-0.5057144
1266,2011,0.2770185,-0.6567971,-0.5044389
1266,2012,-0.4889496,-0.8275145,-0.5147755
1266,2013,0.2344584,-0.6691249,-0.5252422
1266,2014,-0.3212509,-0.8283362,-0.5833228
1266,2015,0.046003,-0.6118485,-0.623045
1266,2016,-0.3525442,-0.7967622,-0.637647
1266,2017,0.9437261,-0.4394825,-0.634632
1266,2018,-0.0245462,-0.7765053,-0.6736485
1266,2019,-0.477313,-0.9008071,-0.6812592
1266,2020,1.933058,0.2094001,-0.6603724
1274,1996,-0.3828252,-0.4558595,-0.3734083
1274,1997,0.028238,-0.0707469,-0.1455557
1274,1998,0.6268705,-0.0587256,-0.1880775
1274,1999,0.6297445,0.1660047,-0.2503625
1274,2000,-0.5961507,-0.6192485,-0.3625026
1274,2001,-0.4608014,-0.6834912,-0.4995497
1274,2002,-0.0622931,-0.7526005,-0.5082009
1274,2003,3.824731,-0.1950709,-0.4776798
1274,2004,0.8036296,-0.1110454,-0.4543991
1274,2012,-0.5829671,-0.8350158,-0.3918488
1274,2013,-0.499584,-0.6902089,-0.3535224
1274,2014,-0.4095852,-0.7627366,-0.4235763
1274,2015,0.1045086,-0.6722149,-0.4228707
1274,2016,-0.5821217,-0.8694724,-0.4808004
1274,2017,-0.5083099,-0.7363452,-0.4883159
1274,2018,-0.412178,-0.6775955,-0.5137331
1274,2019,-0.5728417,-0.8247482,-0.5067404
1274,2020,0.4240469,-0.5341159,-0.4827969
1278,1996,0.6047825,-0.0575005,-0.393673
1278,1998,-0.2868292,-0.6116971,-0.5035799
1278,1999,-0.1748428,-0.5288948,-0.4507671
1279,2002,-0.5924126,-0.691745,-0.1574957
1279,2003,-0.5869639,-0.714178,-0.0223641
1279,2004,-0.4122641,-0.1926902,-0.0136853
1279,2005,0.1185186,-0.0696344,0.0418536
1279,2006,-0.3897775,-0.3897701,-0.038438
1279,2007,-0.5538852,-0.6985459,-0.2743659
1279,2008,-0.5542125,-0.7252867,-0.2498138
1279,2009,-0.5712823,-0.7383175,-0.3361723
1279,2010,-0.4820695,-0.4132421,-0.2925059
1281,1999,-0.553359,-0.4280619,-0.3484971
1281,2002,0.2309734,0.4237192,0.0374647
1283,1996,-0.5167235,-0.468149,-0.3839812
1283,1997,-0.2052965,-0.388907,-0.4392269
1283,1998,-0.5048158,-0.53166,-0.3791544
1283,1999,-0.607347,-0.5977363,-0.420142
1283,2001,-0.3797775,-0.5836111,-0.446374
1283,2002,-0.2932551,-0.5062965,-0.4714236
1283,2003,-0.5869639,-0.8186839,-0.5104796
1283,2004,-0.4800813,-0.7891861,-0.497793
1300,1996,-0.5167235,-0.3833575,-0.4077701
1300,1997,-0.2106237,-0.5237253,-0.512143
1300,2000,-0.5581291,-0.7665597,-0.4586926
1300,2001,4.716157,0.1508196,-0.4027427
1300,2002,-0.5924126,-0.7773482,-0.5128743
1300,2003,-0.5811371,-0.8259298,-0.5131036
1300,2006,-0.525108,-0.7712069,-0.507234
1300,2007,-0.5391442,-0.7750819,-0.4928405
1300,2008,-0.527154,-0.7065226,-0.4820976
1300,2009,-0.5377473,-0.7437472,-0.4985093
1300,2010,-0.450394,-0.7944924,-0.5030527
1300,2011,5.787311,1.020702,-0.3236226
1300,2012,0.8045851,-0.5186011,-0.497041
1300,2013,-0.538536,-0.8110588,-0.5207197
1300,2014,-0.5055204,-0.7257658,-0.5679896
1300,2015,-0.2842644,-0.81795,-0.6146176
1300,2016,-0.5602039,-0.8794535,-0.6381138
1300,2017,-0.5469099,-0.8911051,-0.6460615
1300,2018,-0.3786595,-0.7975185,-0.6632135
1300,2019,-0.0885651,-0.7212265,-0.665791
1324,1996,-0.3280019,-0.4419195,-0.3416897
1324,1997,-0.4392652,-0.6414505,-0.5244071
1324,1999,-0.5682268,-0.6992463,-0.4593735
1324,2000,-0.6240075,-0.7757471,-0.4593896
1324,2001,-0.6047661,-0.7752348,-0.5038674
1331,1996,0.9594912,-0.3275449,-0.1795724
1331,1998,0.7446532,0.9547833,-0.3353307
1331,2000,-0.5348538,-0.3689371,-0.4028307
1331,2001,-0.5997806,-0.6641264,-0.4698941
1331,2002,-0.5675666,-0.6360122,-0.4899139
1331,2003,-0.3250036,-0.4959922,-0.4786091
1331,2004,-0.1765845,-0.3663733,-0.4536712
1331,2005,-0.5598815,-0.8015594,-0.5170431
1332,1996,-0.5073699,-0.4797014,-0.4139376
1332,1999,-0.5883471,-0.7026821,-0.4594852
1334,1996,-0.5167235,-0.4660737,-0.2853011
1334,1997,-0.3597347,-0.4394152,-0.4398958
1334,1999,-0.3469679,-0.3685687,-0.2704812
1356,1996,-0.0555948,-0.4152921,-0.4042459
1356,1998,-0.4497975,-0.50485,-0.4722973
1356,2001,0.1239628,-0.4514995,-0.4595543
1356,2002,0.7236649,-0.2847692,-0.4868661
1356,2003,-0.3843227,-0.6507014,-0.501077
1356,2004,0.5685453,0.0956678,-0.46235
1356,2005,2.284216,0.1357083,-0.4880162
1356,2006,3.79189,0.6127797,-0.4697959
1356,2007,0.5838938,-0.2465419,-0.4846157
1356,2008,-0.2876045,-0.6054422,-0.4798578
1356,2009,1.568846,-0.182803,-0.4855587
1356,2010,3.369164,-0.3127716,-0.4736959
1356,2011,-0.1214852,-0.4720652,-0.500892
1356,2012,-0.0764845,-0.4722413,-0.4958263
1356,2013,-0.4599574,-0.449112,-0.4913686
1356,2014,-0.4829146,-0.706418,-0.5631129
1356,2015,-0.3095028,-0.6575384,-0.5670246
1359,1996,-0.5167235,-0.446812,-0.2544636
1359,2000,-0.6240075,-0.6001895,-0.11914
1360,2005,-0.4218454,0.1429276,-0.1852252
1363,1996,-0.2807921,-0.4186223,-0.345214
1363,1997,0.129693,-0.6508864,-0.5203934
1363,1998,-0.49811,-0.6530749,-0.50823
